RATING,COMMENTS
2,
0,data only-maybe a table
1,
1,"relevant, but too detailed for a small part of participants"
2,
0,another study
1,
1,too detailed
1,
0,not relevant for participants
1,more like outcome
1,more like outcome
1,more like outcome
1,more like outcome
2,
1,
1,more like outcome
0,more like participants
1,
1,more like outcome
2,"for outcome (22-31), the human-text only reports what is measured (no data)"
0,only numbers
2,
1,
0,more like participants
1,incomplete?
2,
2,same info as 28
0,data only
0,intro only
1,
1,
2,
1,
2,
0,
1,
0,data only
0,more like outcome
0,more like outcome
2,
2,
0,more like outcome
1,
2,
0,
1,more like outcome
1,more like outcome
0,more like intervention
0,more like outcome
1,
2,
0,more like outcome
0,more like outcome
0,more like outcome
1,
1,
1,
2,human text: ÒsubjectiveÓ score
0,human text: ÒsubjectiveÓ
2,
2,
1,data only
0,more like outcome
0,background info
1,
2,
0,more like intervention
0,
0,
2,
0,
2,
2,
1,
0,more like outcome
2,
0,data only
1,
0,more like outcome
2,
2,
0,data only
2,
1,
0,
2,
1,
0,
1,
2,
1,
1,
0,data only
0,
1,
1,
1,
0,
1,
2,
0,
1,
1,
1,
0,data only
0,
0,data only
0,data only
0,
0,description of table
1,
0,more like participants
0,
2,
2,mainly data
0,
0,
0,more like intervention
0,more like intervention
2,
2,
2,
2,
1,
1,
0,more like participants
0,
1,
0,
2,
2,
0,
0,more like outcome
1,
1,
0,
1,
0,
0,
1,no really good matches for intervention
0,
0,
1,
1,
1,
0,data only
2,
2,similar to 149
1,
1,
1,
1,
1,
0,
0,
1,
0,data only
2,
0,
0,data only
2,
1,
1,
2,
0,
0,more like outcome
0,more like outcome
0,more like outcome
1,more like outcome
0,data only
0,data only
0,data only
2,
2,
2,
2,
0,
0,
0,data only
1,
1,
0,
2,
1,
2,
1,
1,
1,
1,
,data only
2,
1,
0,
0,more like outcome
0,
0,
0,
0,data only
1,data only
1,
2,
2,
0,
1,
0,more like intervention
1,
1,
1,
1,
0,
0,
2,
1,
0,data only
0,data only
1,
0,data only
1,
0,
1,
1,
0,data only
1,data only
1,data only
1,
0,more like intervention
1,
1,
2,
1,
1,
2,
0,more like outcome
2,
2,similar to 236
2,
2,
1,
2,
1,
0,data only
1,
0,
1,
2,
1,
2,
1,
0,more like intervention
0,
0,
0,
1,mainly data
1,
1,
1,
1,
0,
0,
1,
0,more like outcome
0,mainly data
1,more like outcome
2,
2,
0,
1,mainly data
0,mainly data
1,description of table
0,mainly data
1,
1,
2,
2,
2,
2,
1,
1,
1,
0,more like outcome
2,
1,
0,mainly data
2,
1,
1,
2,
1,
1,
1,
1,
0,
1,
0,mainly data
0,
0,mainly data
2,
1,
2,
1,
1,
1,
1,
2,
2,
2,
0,data only
0,data only
1,
0,
0,
1,
2,
2,
2,
0,data only
0,data only
1,
0,
1,
2,
1,
1,
0,data only
0,data only
1,
1,
2,
1,
1,
2,
2,
1,
2,
2,
0,data only
1,
0,more like outcome
1,
1,
0,
0,data only
1,
2,
2,
2,
1,
2,
2,
1,
1,
2,
1,
0,data only
2,
1,
2,
2,
0,more like outcome
1,
0,more like outcome
0,
0,data only
0,
0,
1,
2,
2,
0,more like participants
2,
1,more like outcome
0,data only
1,
1,
2,
0,
2,
1,
2,
1,
1,
1,
1,
1,
2,
2,
2,
1,
0,
0,more like outcome
1,
0,
1,
1,
2,
2,
1,
1,
0,
1,
0,more like outcome
1,
0,
1,
0,more like outcome
2,
0,other trial
2,
0,mainly data
1,
0,mainly data
0,mainly data
2,
2,
0,mainly data
2,
1,
0,mainly data
2,
2,
2,
2,
1,
1,
2,
1,
2,
0,
1,
1,
2,
2,
2,
2,
2,
0,data only
1,
1,"same as above, mainly data"
1,"same as above, mainly data"
2,
1,
1,
1,
2,
0,more like outcome
1,
2,
0,
2,
0,
0,
1,
1,
1,
1,
1,
0,
0,
0,more like participants
0,
2,
1,
1,
2,
2,
2,
2,
2,
0,mainly data
1,
1,more like outcome
0,
1,
0,
0,
0,
2,
1,
1,
1,
0,more like outcome
2,
1,more like outcome
1,
1,
1,
2,
1,
0,
2,
2,
2,
2,
2,
0,mainly data
1,
1,
0,more like intervention
1,
0,
1,
1,
2,
1,
2,
1,
1,
1,
1,
1,
1,mainly data
2,
1,
0,mainly data
0,mainly data
0,
0,
1,
2,
1,
0,mainly data
2,
2,
2,
1,
1,
0,mainly data
2,
